"[98, 43.18213992270621]","[96, 40.857374408933744]","[97, 39.341143977016124]","[9, 38.16745305841657]","[95, 36.0412693115354]","[963, 35.5030635731038]","[919, 34.49068184123399]","[969, 34.07325398526336]","[91, 34.00337106957329]","[92, 33.63820244448694]"
"[9, 40.383038443527056]","[98, 34.37504622377543]","[93, 32.41581681343057]","[919, 27.98028182676876]","[924, 27.615380496905193]","[96, 26.953528861193906]","[936, 25.408745530869258]","[95, 24.001897031364724]","[900, 23.67362818570684]","[928, 23.154954693490883]"
"[902, 24.763914123521676]","[9, 22.847626465040236]","[98, 21.85424188979924]","[900, 21.050788363110488]","[96, 19.777486674563203]","[937, 19.75568180941408]","[93, 19.41238459810833]","[919, 17.09243530979937]","[95, 16.972782513214202]","[97, 15.42595207538192]"
"[98, 19.444466367441024]","[96, 18.508196661813386]","[9, 18.43929758981608]","[937, 17.315491102667593]","[902, 15.821797259364878]","[97, 15.337418465109991]","[93, 15.260459069310043]","[95, 14.859217643883644]","[919, 14.520995654029074]","[92, 13.902499301486113]"
"[98, 39.089689319203764]","[96, 36.27187326230466]","[91, 33.15654100427587]","[969, 32.352787650942446]","[95, 32.199642433798665]","[97, 32.094995985592]","[99, 32.043608886410595]","[94, 28.572429106541126]","[919, 28.39482023262063]","[9, 28.0449752114004]"
"[98, 39.438087944064925]","[9, 39.11358545830483]","[97, 35.92219061758841]","[96, 35.49541210291386]","[99, 35.091457113539086]","[963, 34.00943812180012]","[95, 32.56081688896434]","[91, 32.38509260248926]","[969, 32.11460379642436]","[92, 31.811569083862842]"
"[98, 50.3892168126937]","[9, 44.22131460946902]","[96, 43.29939629393738]","[97, 41.88309381794228]","[99, 40.35567736446492]","[92, 38.41202457239421]","[91, 38.06240234637451]","[969, 38.00264695129223]","[95, 37.50211400492102]","[963, 37.483622711780285]"
"[96, 32.3303055692658]","[98, 30.507085023201967]","[95, 28.215865028627768]","[97, 25.158305892917205]","[99, 24.879540150513034]","[92, 24.726669630212193]","[919, 22.101847640708648]","[9, 21.526314334709262]","[91, 20.753607525072084]","[969, 20.748339604225873]"
"[98, 20.34184969918004]","[9, 19.390503702185296]","[96, 17.699716652186062]","[93, 14.546361226988616]","[91, 14.474099031217099]","[95, 14.19563000765835]","[97, 14.141080470732321]","[919, 14.085388783709599]","[963, 13.775349783217102]","[99, 13.771050267080362]"
"[98, 39.08058567502838]","[9, 38.418168866006816]","[97, 34.74890045456162]","[99, 34.660962210217996]","[96, 33.9530722072254]","[963, 33.238234770655474]","[923, 31.72301066967346]","[95, 30.566900558039954]","[956, 30.38086358819281]","[945, 30.305039318712613]"
"[96, 39.19612994068321]","[98, 38.773080341795726]","[97, 35.30126291441438]","[9, 35.253578821187446]","[969, 33.691090665986614]","[95, 33.205131295704646]","[963, 32.74834312354502]","[92, 32.71779376434095]","[91, 32.68804413522301]","[99, 31.929214309954]"
